,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
0,Ag2BiO3,Ag2BiO3_Va_O1,12.922059666666668,11.664903333333333,0.44959999999999933,0.10487116054744286,0.0,0.6393214486049811,0.25580739084757587,-0.9207718288888884,0.41972201053534497,0.0,0.48863938771448734,0.09163860175016739,-2.3186166666666668,-1.33899,15.993049,1.7379205091890484,0.9791650761390974,2.2889819512441867,5.072610000000001,3.076569,2.02,1.0425766666666667,0.5549809999999997,1.93,3.1226430495135507,0.36704218838014147,0.41709810679206133,0.21585970482779734,1.636971740000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ag2BiO3,Ag2BiO3_Va_O2,12.922059666666668,11.664903333333333,0.44959999999999933,0.10487116054744286,0.0,0.6393214486049811,0.25580739084757587,-0.9207718288888884,0.41972201053534497,0.0,0.48863938771448734,0.09163860175016739,-2.491476666666667,-1.3225319999999998,13.846707,1.507305638493373,0.8532040012330449,2.294549722669377,5.072610000000001,3.076569,2.02,1.0425766666666667,0.5860850000000006,1.93,3.63038471462147,0.309797636414665,0.46724346597470134,0.22295889761063376,2.3498697200001377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ag2BiO3,Ag2BiO3_Va_O3,12.922059666666668,11.664903333333333,0.44959999999999933,0.10487116054744286,0.0,0.6393214486049811,0.25580739084757587,-0.9207718288888884,0.41972201053534497,0.0,0.48863938771448734,0.09163860175016739,-2.24946,-1.2783119999999997,13.43845,1.5759115282654594,0.8777926616079049,2.2652260903669967,5.072610000000001,3.074522,2.02,1.0425766666666667,0.5498969999999996,1.93,3.5244642768484287,0.31439665501065417,0.482338185111175,0.20326515987817081,2.222248000000386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Ag2HgO2,Ag2HgO2_Va_O1,9.138385333333334,2.1458973333333335,0.40700000000000003,0.3976866025460839,0.0,0.41268592260646775,0.18962747484744788,-0.45969821916666653,0.5755242129217274,0.0,0.33557912343693397,0.08889666364133887,-1.867816666666667,-1.1665830000000001,13.481161,0.9724158671152744,0.5893794563623526,2.131592184154538,1.8956,1.0948569999999993,2.0,0.9200166666666667,0.611656,1.93,3.5233215092811725,0.0,0.5000056039604157,0.11568928918872748,1.7423184099999478,0.38430510685085684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AgAuO2,AgAuO2_Va_O1,10.273909666666666,3.2848563333333334,0.5217,0.546481859071204,0.0,0.37777116575486375,0.07574697517393232,-0.4721402929166656,0.5440348024077697,0.0,0.3628978134844123,0.09306738410781805,-1.4653933333333333,-0.9331630000000004,11.543672,0.9972798594459378,0.6375096744217007,2.4581031543059733,1.8429633333333333,1.2161910000000002,3.44,-1.4653933333333333,-0.9316440000000004,1.93,4.16347088489565,0.0,0.3825662373205904,0.16829839896837026,2.31297225999999,0.0,0.4491353637110393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Al2Ge2O7,Al2Ge2O7_Va_O1,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.8875366666666669,-1.193829,12.641344,1.2399253377899504,0.8248410295275174,2.406341895839076,3.4584333333333332,2.216851,3.44,-1.9010300000000002,-1.2368880000000004,1.61,3.103427181710611,0.0,0.0,0.3821967891620815,5.416601799999976,0.0,0.0,0.24230442918116724,0.3754987816567512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Al2Ge2O7,Al2Ge2O7_Va_O2,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.9010300000000002,-1.2368370000000004,12.960881,1.2735835225103402,0.8429595564578923,2.3974576458626684,3.4584333333333332,2.216851,3.44,-1.8875366666666669,-1.1942149999999998,1.61,3.1016874057293666,0.0,0.0,0.37672783681692,5.411478320000137,0.0,0.0,0.24511426121926094,0.3781579019638191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Al2Ge2O7,Al2Ge2O7_Va_O3,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.7321199999999999,-1.1317709999999996,15.599957,0.7798758860914605,0.4750407924435068,2.72604428315262,3.4584333333333332,2.216959,3.44,-1.7285700000000002,-1.207008,2.01,2.596100957120228,0.0,0.0,0.5069556605513958,3.8145812599999633,0.0,0.0,0.4707885608589151,0.0222557785896891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al2Ge2O7,Al2Ge2O7_Va_O4,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.7285700000000002,-1.206664,15.425847,0.760271318035256,0.5005306876201228,2.6131783167219456,3.4584333333333332,2.216851,3.44,-1.7321199999999999,-1.207008,1.61,2.043769290199058,0.0,0.0,0.4875975437453005,4.388867460000151,0.0,0.0,0.2771870291701144,0.2352154270845852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Al2O3,Al2O3_Va_O1,3.2576206666666665,6.876356,6.039299999999999,0.0,0.0,0.10461637157445078,0.8953836284255493,-3.4265510080000006,0.0,0.0,0.993313996991424,0.006686003008575806,-1.9625033333333333,-1.3659939999999997,10.579149,1.2952080860693655,0.9098292201933088,2.224895215865955,2.94375,2.0729670000000002,3.44,-1.9625033333333333,-1.3898070000000002,1.61,2.497321494687122,0.0,0.0,0.3360083146808497,7.69421869999986,0.0,0.0,0.0,0.6639916853191504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Al2PbO4,Al2PbO4_Va_O1,3.708021,14.354939333333334,3.8921,0.031925980323740374,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.004984579792422816,0.0,0.8477991894298239,0.14721623077775312,-2.1016266666666668,-1.658455,17.13908,1.4944255081072975,1.161585329767756,2.273300437305284,3.0406766666666667,2.431176,2.33,2.5935433333333333,1.593362,1.61,2.391473835296565,0.0,0.0,0.2618216608453977,6.395135430000105,0.0,0.0,0.0,0.4823911197682053,0.25578721938639704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Al2PbO4,Al2PbO4_Va_O2,3.708021,14.354939333333334,3.8921,0.031925980323740374,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.004984579792422816,0.0,0.8477991894298239,0.14721623077775312,-2.049193333333333,-1.5636150000000004,17.407756,1.5306141756338267,1.1823405737171586,2.2577006846753074,3.0406766666666667,2.431108,3.44,-2.03847,-1.639443,1.61,2.127479261236284,0.0,0.0,0.25322654547719126,6.474721879999729,0.0,0.0,0.0,0.4908066400060766,0.25596681451673214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Al2PbO4,Al2PbO4_Va_O3,3.708021,14.354939333333334,3.8921,0.031925980323740374,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.004984579792422816,0.0,0.8477991894298239,0.14721623077775312,-2.03847,-1.639443,17.674985,1.4347926158008484,1.1369087586683448,2.271189956610316,3.0406766666666667,2.431108,3.44,-2.049193333333333,-1.5636150000000004,1.61,2.3477590408505455,0.0,0.0,0.27083679316565173,6.6248099899997985,0.0,0.0,0.0,0.4992206719493859,0.2299425348849624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Al2ZnO4,Al2ZnO4_Va_O1,3.365741,5.302893,4.4462,0.0,0.0,0.16406797807332885,0.8359320219266716,-3.021072628571428,0.10001326547851726,0.0,0.8967123907797427,0.003274343741740166,-1.94414,-1.2463680000000004,10.978704,1.4015334006426148,0.8650482418892395,2.1027476221326715,2.85495,1.862317,1.65,2.06666,1.1493070000000003,1.61,2.5696468980567397,0.0,0.0,0.2641048168338948,6.6551131699997175,0.0,0.0,0.0,0.49999999999999994,0.0,0.2358951831661052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Al4Bi2O9,Al4Bi2O9_Va_O1,4.355632666666667,9.627726000000001,2.6141999999999994,0.05843563694655389,0.0,0.836625448726243,0.1049389143272033,-2.857885394000002,0.008873440830473355,0.0,0.929458836385299,0.061667722784227164,-2.368586666666667,-1.591456,13.607511,1.457014848634341,0.9598878293537947,2.3848563900027937,4.146556666666666,2.486142,2.02,2.8797433333333333,2.173593,1.61,2.7629914986258335,0.2994450602809672,0.0,0.3563300083538784,5.484838260000183,0.0,0.0,0.0,0.3442249313651545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Al4Bi2O9,Al4Bi2O9_Va_O2,4.355632666666667,9.627726000000001,2.6141999999999994,0.05843563694655389,0.0,0.836625448726243,0.1049389143272033,-2.857885394000002,0.008873440830473355,0.0,0.929458836385299,0.061667722784227164,-2.0197966666666667,-1.5935579999999998,13.791632,1.0069758902889945,0.9428257042271717,2.2923045988216,2.8797433333333333,2.486142,1.61,2.8327466666666665,2.251777,1.61,2.525664865147771,0.016071867811207962,0.0,0.36924324208688786,7.171021660000301,0.0,0.0,0.0,0.6146848901019042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
