,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,O,Ge,Al,vacancy_formation_energy,Pb,Zn,Bi,Ag,Cu,Sb,As,B,Ba,Ca,W,Cd,Hf,In,Ga,La,Ta,Li,Re,Mg,Mo,Si,Sc,Nb,Sn,Sr,Ti,Y,Zr,Na,V,Be,Ce,Pd,Cr,Cs,Au,Tl,Hg,K,Rb
0,Al2Ge2O7,Al2Ge2O7_Va_O1,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.8875366666666669,-1.193829,12.641344,1.2399253377899504,0.8248410295275174,2.406341895839076,3.4584333333333332,2.216851,3.44,-1.9010300000000002,-1.2368880000000004,1.61,3.103427181710611,0.3821967891620815,0.24230442918116724,0.3754987816567512,-0.01504234959061096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Al2Ge2O7,Al2Ge2O7_Va_O2,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.9010300000000002,-1.2368370000000004,12.960881,1.2735835225103402,0.8429595564578923,2.3974576458626684,3.4584333333333332,2.216851,3.44,-1.8875366666666669,-1.1942149999999998,1.61,3.1016874057293666,0.37672783681692,0.24511426121926094,0.3781579019638191,0.13904840393437334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Al2Ge2O7,Al2Ge2O7_Va_O4,3.204407,4.862990666666667,3.2978,0.001531569105471033,0.0,0.29374596777223333,0.7047224631222961,-2.702367327272727,0.021508501396958493,0.0,0.9718579715966225,0.006633527006419064,-1.7285700000000002,-1.206664,15.425847,0.760271318035256,0.5005306876201228,2.6131783167219456,3.4584333333333332,2.216851,3.44,-1.7321199999999999,-1.207008,1.61,2.043769290199058,0.4875975437453005,0.2771870291701144,0.2352154270845852,1.0379799850548563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Al2O3,Al2O3_Va_O1,3.2576206666666665,6.876356,6.039299999999999,0.0,0.0,0.10461637157445078,0.8953836284255493,-3.4265510080000006,0.0,0.0,0.993313996991424,0.006686003008575806,-1.9625033333333333,-1.3659939999999997,10.579149,1.2952080860693655,0.9098292201933088,2.224895215865955,2.94375,2.0729670000000002,3.44,-1.9625033333333333,-1.3898070000000002,1.61,2.497321494687122,0.3360083146808497,0.0,0.6639916853191504,1.8717062572713679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Al2PbO4,Al2PbO4_Va_O1,3.708021,14.354939333333334,3.8921,0.031925980323740374,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.004984579792422816,0.0,0.8477991894298239,0.14721623077775312,-2.1016266666666668,-1.658455,17.13908,1.4944255081072975,1.161585329767756,2.273300437305284,3.0406766666666667,2.431176,2.33,2.5935433333333333,1.593362,1.61,2.391473835296565,0.2618216608453977,0.0,0.4823911197682053,1.5597349748155263,0.25578721938639704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Al2PbO4,Al2PbO4_Va_O2,3.708021,14.354939333333334,3.8921,0.031925980323740374,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.004984579792422816,0.0,0.8477991894298239,0.14721623077775312,-2.049193333333333,-1.5636150000000004,17.407756,1.5306141756338267,1.1823405737171586,2.2577006846753074,3.0406766666666667,2.431108,3.44,-2.03847,-1.639443,1.61,2.127479261236284,0.25322654547719126,0.0,0.4908066400060766,2.0772168677228207,0.25596681451673214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Al2PbO4,Al2PbO4_Va_O3,3.708021,14.354939333333334,3.8921,0.031925980323740374,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.004984579792422816,0.0,0.8477991894298239,0.14721623077775312,-2.03847,-1.639443,17.674985,1.4347926158008484,1.1369087586683448,2.271189956610316,3.0406766666666667,2.431108,3.44,-2.049193333333333,-1.5636150000000004,1.61,2.3477590408505455,0.27083679316565173,0.0,0.4992206719493859,1.6499347158008852,0.2299425348849624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Al2ZnO4,Al2ZnO4_Va_O1,3.365741,5.302893,4.4462,0.0,0.0,0.16406797807332885,0.8359320219266716,-3.021072628571428,0.10001326547851726,0.0,0.8967123907797427,0.003274343741740166,-1.94414,-1.2463680000000004,10.978704,1.4015334006426148,0.8650482418892395,2.1027476221326715,2.85495,1.862317,1.65,2.06666,1.1493070000000003,1.61,2.5696468980567397,0.2641048168338948,0.0,0.49999999999999994,1.6836027084802763,0.0,0.2358951831661052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al4Bi2O9,Al4Bi2O9_Va_O1,4.355632666666667,9.627726000000001,2.6141999999999994,0.05843563694655389,0.0,0.836625448726243,0.1049389143272033,-2.857885394000002,0.008873440830473355,0.0,0.929458836385299,0.061667722784227164,-2.368586666666667,-1.591456,13.607511,1.457014848634341,0.9598878293537947,2.3848563900027937,4.146556666666666,2.486142,2.02,2.8797433333333333,2.173593,1.61,2.7629914986258335,0.3563300083538784,0.0,0.3442249313651545,0.060330340535579285,0.0,0.0,0.2994450602809672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Al4Bi2O9,Al4Bi2O9_Va_O2,4.355632666666667,9.627726000000001,2.6141999999999994,0.05843563694655389,0.0,0.836625448726243,0.1049389143272033,-2.857885394000002,0.008873440830473355,0.0,0.929458836385299,0.061667722784227164,-2.0197966666666667,-1.5935579999999998,13.791632,1.0069758902889945,0.9428257042271717,2.2923045988216,2.8797433333333333,2.486142,1.61,2.8327466666666665,2.251777,1.61,2.525664865147771,0.36924324208688786,0.0,0.6146848901019042,1.4546189421473312,0.0,0.0,0.016071867811207962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
